employer_id,jobs_posted_24h,wage_offered,reports_against,is_fraud
3e186c61-fc37-4834-9730-6fad06027abb,7,966,3,1
3e6caac2-f743-44c5-987c-638bc3bb052c,1,210,0,0
ae8853a9-c934-45ff-abfc-7098e429a361,1,307,1,0
7f9dd5a6-2f19-418b-884b-30f9d6ac7546,1,489,0,0
68b407c8-441a-4d3a-9ef2-deba54eafa57,1,355,0,0
b46afef3-f96a-4b1b-857a-20ce23e14b06,1,252,0,0
7e8f494d-75f3-4edd-b116-eaf9d673f99b,1,390,1,0
341e1ac2-ea9d-4e4f-9cc5-32732a8af4b0,3,396,0,0
bcc4ed9a-8d51-46fe-a541-d6dca311444c,1,439,1,0
9f28b161-69b3-457b-844f-120be092f7f7,2,557,0,0
df694ac4-ed48-455e-8e9d-540d015c78da,1,510,1,0
666e24b1-a4a3-4638-af06-c2e2482c099d,3,396,1,0
d68b634d-5947-421b-b911-044e5231beba,1,283,1,0
b184cd52-bd8f-4eaa-b84d-49ad2597d2bc,1,232,1,0
2406be80-aa55-452b-8fe0-8fb725a227d2,1,474,0,0
a460b249-edc9-437d-8d8a-f18bd9e70522,3,368,0,0
28dafc17-ac19-4081-9f40-0ae3604e3f17,2,511,1,0
79682805-5888-45d0-a259-0c82c09b4441,2,352,1,0
0ef38d60-b0ce-4155-8a36-01fe9c3f3df4,2,264,0,0
c493e88b-fd9a-4671-be83-4595367eda13,3,226,0,0
6f0ff91a-3f06-4873-a4cb-66ccdb283801,3,309,0,0
ee48975e-650f-444e-a58e-4ba98ac2244b,2,425,0,0
16a753d7-eda9-44ea-8d68-f897f0375efa,7,962,3,1
2f1dea83-4d96-41ea-93c8-a049168510ab,1,329,0,0
00fd8253-aa7e-49a2-8ba2-048678b41da4,1,592,0,0
4bfc46fb-b591-4429-9e53-9245197d6625,2,517,0,0
d7749156-7ea2-4964-97ae-21ddd84f21f7,2,301,0,0
32c80476-6eba-4f8b-8c1f-67cf870a9ae8,3,485,0,0
b15433bc-fcee-45cf-8823-a33398183846,1,365,1,0
0168f8ad-9704-4d0e-90ee-c7f0851f5ed0,2,435,0,0
fc56313e-325f-4880-b84e-8edfcaa22225,3,208,1,0
9ed2d0e7-8a0c-43c7-b28b-b35ced2b7b61,3,234,1,0
0f9b11cc-afbc-4361-a8c3-11bfe4ff3bba,3,561,1,0
8a2f8a32-2883-4572-b8c1-ddca4da46c80,2,247,1,0
d59e8c46-dade-4b75-adbf-cc93be1a3804,3,211,1,0
0248403d-8928-4fa4-8a9e-4ad4e0904990,3,405,1,0
6656b426-27c1-4dab-8fd0-74f490740edb,6,916,4,1
4bf60e7e-faec-442a-8f15-e8484f0f7590,3,398,0,0
f7cfbae1-ef6b-4b8c-8a99-966f69bb5110,1,290,0,0
cc609b7f-c426-4634-a891-07d09a751ad3,1,551,1,0
871fd4e4-802e-4b6e-9ec1-ef7615dd07b9,3,298,0,0
82788554-9d1e-4f4b-a26d-92f2513304e6,1,209,0,0
aa85f27c-a998-49d3-a91f-69c2ae89da1d,2,350,1,0
121c2254-6ca7-4f87-859d-066a8b6c545c,2,300,0,0
a6183771-33cb-4cc0-be31-d02b36024ef0,2,366,1,0
08a8288c-67d3-40fb-be10-85c06b3a3580,2,533,0,0
aa65c0eb-8e2f-45d5-93f1-e45e044cbfe0,3,538,1,0
f6fa26ed-e32b-4bcc-956b-9bec76020ad4,1,539,0,0
df5ab454-ca4f-46fd-91d5-cba7d1b3d0b6,2,465,0,0
68151484-52e6-4ea8-b6b4-e8bef1175fef,2,290,0,0
12fa6a7e-c1fb-4505-af93-effd4ebcb79f,3,488,0,0
